title,description,property_type,status,price,bedrooms,bathrooms,area_sqft,address,city,state,country,latitude,longitude
Ocean Breeze Villa,Luxury villa near the beach,villa,available,650.00,5,4,3600.00,101 Ocean Dr,Miami,Florida,USA,25.7617,-80.1918
Downtown Studio,Compact studio in city center,studio,available,95.00,1,1,500.00,202 Main St,Miami,Florida,USA,25.7650,-80.1950
Mountain Escape Cabin,Rustic cabin with mountain views,cabin,available,150.00,2,1,850.00,11 Pine Rd,Denver,Colorado,USA,39.7392,-104.9903
Ski Resort Chalet,Chalet close to ski resorts,chalet,available,390.00,4,3,2600.00,22 Snow Peak Dr,Denver,Colorado,USA,39.7450,-104.9800
City Center Apartment,Modern apartment near attractions,apartment,available,140.00,2,1,900.00,101 Broadway,New York,New York,USA,40.7128,-74.0060
Luxury Penthouse,High-rise penthouse with skyline views,penthouse,available,980.00,4,4,4000.00,202 Park Ave,New York,New York,USA,40.7180,-74.0010
Lakeside Cottage,Charming cottage beside the lake,cottage,available,210.00,3,2,1500.00,10 Lake Shore Dr,Chicago,Illinois,USA,41.8781,-87.6298
Urban Loft,Modern loft in downtown district,apartment,available,165.00,1,1,800.00,20 Market St,Chicago,Illinois,USA,41.8820,-87.6250
Waterfront Villa,Luxury villa near the bay,villa,available,620.00,5,4,3500.00,15 Bayview Rd,Seattle,Washington,USA,47.6062,-122.3321
Modern Apartment,Apartment close to downtown,apartment,available,145.00,2,1,850.00,25 Pine St,Seattle,Washington,USA,47.6100,-122.3300
Palm Tree Cottage,Cozy cottage with garden,cottage,available,180.00,3,2,1400.00,303 Palm Ave,Miami,Florida,USA,25.7580,-80.1880
Luxury Marina Condo,Modern condo near marina,condo,available,320.00,2,2,1200.00,404 Harbor Rd,Miami,Florida,USA,25.7700,-80.1800
Sunset Beach House,Beautiful house near beach,house,available,420.00,4,3,2400.00,505 Sunset Blvd,Miami,Florida,USA,25.7550,-80.1750
Downtown Loft,Stylish loft in downtown area,apartment,available,170.00,1,1,750.00,33 Market St,Denver,Colorado,USA,39.7350,-104.9950
Family Retreat House,Spacious family home,house,available,280.00,4,3,2200.00,44 Aspen Ln,Denver,Colorado,USA,39.7500,-104.9850
Luxury Mountain Villa,Premium villa with mountain scenery,villa,available,700.00,6,5,4200.00,55 Summit Rd,Denver,Colorado,USA,39.7420,-104.9700
Historic Townhouse,Renovated townhouse in historic area,townhouse,available,350.00,3,2,1800.00,303 Heritage St,New York,New York,USA,40.7100,-74.0100
Business Executive Suite,Executive suite for professionals,studio,available,220.00,1,1,650.00,404 Wall St,New York,New York,USA,40.7150,-74.0040
Central Park Residence,Luxury residence near park,condo,available,500.00,3,3,2100.00,505 Central Ave,New York,New York,USA,40.7200,-73.9980
Luxury Condo,Upscale condo with city views,condo,available,340.00,2,2,1300.00,30 Riverwalk Ave,Chicago,Illinois,USA,41.8750,-87.6200
Family House,Comfortable family-friendly home,house,available,260.00,4,3,2300.00,40 Oak St,Chicago,Illinois,USA,41.8700,-87.6350
Executive Penthouse,Premium penthouse downtown,penthouse,available,850.00,4,4,3600.00,50 Skyline Blvd,Chicago,Illinois,USA,41.8850,-87.6180
Forest Cabin,Quiet cabin near forest trails,cabin,available,175.00,2,1,950.00,35 Cedar Ln,Seattle,Washington,USA,47.6020,-122.3400
Harbor Condo,Condo overlooking the harbor,condo,available,310.00,2,2,1200.00,45 Harbor Ave,Seattle,Washington,USA,47.6080,-122.3250
Luxury Family Home,Spacious luxury home,house,available,450.00,5,4,3000.00,55 Evergreen Dr,Seattle,Washington,USA,47.6150,-122.3200
Gulshan Luxury Apartment,Premium apartment in diplomatic zone,apartment,available,220.00,3,3,1800.00,Road 54 Gulshan,Dhaka,Dhaka,Bangladesh,23.7925,90.4078
Dhanmondi Family Flat,Spacious family flat near schools,apartment,available,120.00,3,2,1400.00,Road 8 Dhanmondi,Dhaka,Dhaka,Bangladesh,23.7461,90.3742
Banani Executive Condo,Modern condo for professionals,condo,available,180.00,2,2,1200.00,Road 11 Banani,Dhaka,Dhaka,Bangladesh,23.7936,90.4043
Uttara Budget Studio,Affordable studio apartment,studio,available,55.00,1,1,450.00,Sector 7 Uttara,Dhaka,Dhaka,Bangladesh,23.8759,90.3795
Purbachal Duplex House,New duplex in planned township,house,available,280.00,4,4,2800.00,Sector 12 Purbachal,Dhaka,Dhaka,Bangladesh,23.8425,90.5250
Chattogram Hill View Villa,Luxury villa overlooking hills,villa,available,350.00,5,4,3400.00,Khulshi,Chattogram,Chattogram,Bangladesh,22.3596,91.8215
Agrabad Business Office,Commercial office space in business district,office,available,400.00,0,2,3000.00,Agrabad,Chattogram,Chattogram,Bangladesh,22.3250,91.8110
Coxs Bazar Beach Resort,Beachfront resort property,resort,available,950.00,12,10,8500.00,Marine Drive,Cox's Bazar,Chattogram,Bangladesh,21.4272,92.0058
Sylhet Tea Garden Cottage,Cottage surrounded by tea gardens,cottage,available,140.00,2,2,1000.00,Sreemangal,Sylhet,Sylhet,Bangladesh,24.3065,91.7296
Sylhet Modern Apartment,Apartment near city center,apartment,available,90.00,2,2,1100.00,Amberkhana,Sylhet,Sylhet,Bangladesh,24.8949,91.8687
Khulna Riverside House,House with river views,house,available,130.00,3,2,1700.00,Khalishpur,Khulna,Khulna,Bangladesh,22.8456,89.5403
Khulna Commercial Shop,Retail shop in busy market area,shop,available,75.00,0,1,600.00,Sonadanga,Khulna,Khulna,Bangladesh,22.8135,89.5534
Rajshahi Garden Home,Family home with large garden,house,available,160.00,4,3,2400.00,Boalia,Rajshahi,Rajshahi,Bangladesh,24.3745,88.6042
Rajshahi Student Hostel,Hostel building near universities,hostel,available,290.00,20,10,5000.00,Motihar,Rajshahi,Rajshahi,Bangladesh,24.3670,88.6400
Barishal Lake View Flat,Apartment beside scenic lake,apartment,available,85.00,2,2,1050.00,Nathullabad,Barishal,Barishal,Bangladesh,22.7010,90.3535
Rangpur Duplex Residence,Modern duplex family residence,house,available,175.00,4,3,2600.00,Jahaj Company Mor,Rangpur,Rangpur,Bangladesh,25.7439,89.2752
Mymensingh Farmhouse,Peaceful farmhouse with land,farmhouse,available,240.00,4,3,3200.00,Trishal,Mymensingh,Mymensingh,Bangladesh,24.5840,90.3950
Gazipur Industrial Warehouse,Large warehouse near industrial zone,warehouse,available,550.00,0,2,10000.00,Tongi,Gazipur,Dhaka,Bangladesh,23.8915,90.4023
Kuakata Beach Cottage,Holiday cottage near the sea,cottage,available,120.00,2,2,950.00,Kuakata,Patuakhali,Barishal,Bangladesh,21.8150,90.1190
